 # EVENT N.           1
           2
   8.5570693295445605E-003  -2.5894233345797393E-003   8.0634535279495417E-003  -1.1126182940448808E-003
   8.5567526348423080E-003   2.5894233345797393E-003  -8.0634535279495417E-003   1.1101799905834681E-003
 # EVENT N.           2
           3
   8.5342246354464888E-003  -1.8733411029326751E-003   8.2996327213729869E-003  -4.2256347608219503E-004
   8.5374445046109346E-003   1.8721521334049318E-003  -8.3011335552375665E-003   4.6159150499855596E-004
   5.3620776818334674E-006   1.1889695277433064E-006   1.5008338645787936E-006  -5.0085652874898126E-006
 # EVENT N.           3
           2
   8.5703822690278535E-003  -3.6678465101381585E-003   7.7000063578268572E-003   6.6868248477093464E-004
   8.5752731921862526E-003   3.6678465101381585E-003  -7.7000063578268572E-003  -7.2869359047589548E-004
 # EVENT N.           4
           4
   8.5339976207603578E-003  -3.4864046177062102E-003  -7.7632539584636786E-003  -3.8061288714052863E-004
   8.3012872570050970E-003   3.3951441273145050E-003   7.5489817041684143E-003   3.6894670195938785E-004
   5.1974154071393760E-005   9.2130065937453926E-006  -1.3053311924540896E-006   5.1134423937486443E-005
   2.3440770637891953E-004   8.2047483797959779E-005   2.1557758548771839E-004  -4.1731137625695546E-005
 # EVENT N.           5
           3
   8.5633508310025801E-003   8.3485147976122484E-003  -1.3260057794614653E-003   1.2703805580989633E-003
   8.5574313140006214E-003  -8.3480252794635879E-003   1.3263270322196419E-003  -1.2328183935835257E-003
   8.6754223907020534E-007  -4.8951814866091526E-007  -3.2125275817663421E-007  -6.4015481257773916E-007
 # EVENT N.           6
           2
   8.5440581786389198E-003  -6.4974420165608031E-003   5.5226504415061238E-003  -1.5293614029474983E-004
   8.5438205934654492E-003   6.4974420165608031E-003  -5.5226504415061238E-003   1.3903106259349312E-004
 # EVENT N.           7
           2
   8.5453000065250778E-003   6.3300559792037912E-003   5.6905230033689452E-003   5.5621165977696909E-004
   8.5476212349263961E-003  -6.3300559792037912E-003  -5.6905230033689452E-003  -5.9080283066263283E-004
 # EVENT N.           8
           2
   8.5543012601943195E-003  -7.7146527270791970E-003  -3.3823799720013943E-003   1.3994959937115247E-003
   8.5526542025943734E-003   7.7146527270791970E-003   3.3823799720013943E-003  -1.3893929953068119E-003
 # EVENT N.           9
           2
   8.5510576755691865E-003  -4.6728841307598131E-003  -7.1362187240921800E-003   3.1305519321532830E-004
   8.5495174526666676E-003   4.6728841307598131E-003   7.1362187240921800E-003  -2.6770292590895658E-004
 # EVENT N.          10
           2
   8.5421471958555210E-003   2.3041325960264244E-003   8.1687608051958932E-003   8.1821669731516880E-004
   8.5456842516871100E-003  -2.3041325960264244E-003  -8.1687608051958932E-003  -8.5435307551161256E-004
 # EVENT N.          11
           3
   8.5853070649272532E-003  -7.7833932851142850E-003   3.5735460779308167E-003   3.0811484532885640E-004
   8.5842109894014567E-003   7.7839244630655315E-003  -3.5695202367517932E-003  -3.1081104219322393E-004
   6.9246740988559842E-006  -5.3117795124654869E-007  -4.0258411790233968E-006  -5.6090608982926868E-006
 # EVENT N.          12
           3
   8.5481700417189208E-003   5.9389445986527331E-003  -5.9697479413288387E-003  -1.3788174621586515E-003
   8.5514535762983516E-003  -5.9398126489829612E-003   5.9705023344202614E-003   1.3921084002078035E-003
   1.1806203623805365E-006   8.6805033022779514E-007  -7.5439309142261582E-007  -2.6691595657208897E-007
 # EVENT N.          13
           4
   8.2424275961758900E-003  -3.8552989013333708E-003  -7.2538120010511627E-003   4.4201184787838048E-004
   8.4054886527661962E-003   3.9615724788366318E-003   7.3444911063424703E-003  -8.6920270146896453E-004
   4.3856211746978822E-004  -1.0626319611258300E-004  -9.0688723128760129E-005   4.1571675396692655E-004
   1.4423980065980124E-008  -1.0381390677811523E-008   9.6178374522813070E-009  -2.7883922392545554E-009
 # EVENT N.          14
           3
   8.5559146951917613E-003  -8.1357818995594182E-003   2.4811781267307536E-003   7.7159848257475345E-004
   8.5569125274144280E-003   8.1358177563670610E-003  -2.4811814691689687E-003  -7.8220196543862060E-004
   1.3430882340541968E-007  -3.5856807643691494E-008   3.3424382151751289E-009   1.2939079371009844E-007
 # EVENT N.          15
           2
   8.5439214545289816E-003   2.1420867142628777E-004   8.4184321011547079E-003   1.3496626931102022E-003
   8.5444557484265337E-003  -2.1420867142628777E-004  -8.4184321011547079E-003  -1.3530408718261436E-003
 # EVENT N.          16
           2
   8.5412510514245275E-003  -6.4148758119843526E-003   5.4548066540381973E-003   1.3365261568777567E-003
   8.5460160338358022E-003   6.4148758119843526E-003  -5.4548066540381973E-003  -1.3666465143322270E-003
 # EVENT N.          17
           2
   8.5393585523858909E-003  -7.0934323708975620E-003   4.6321919688242603E-003   9.4103092953833219E-004
   8.5433015605957275E-003   7.0934323708975620E-003  -4.6321919688242603E-003  -9.7616406378187698E-004
 # EVENT N.          18
           2
   8.5597432067754959E-003  -3.2005323353128967E-003   7.8249241246080431E-003   1.2390475944700312E-003
   8.5586765406040644E-003   3.2005323353128967E-003  -7.8249241246080431E-003  -1.2316571365884050E-003
 # EVENT N.          19
           2
   8.5468474934324943E-003   3.2695276964462439E-003  -7.7083411593585737E-003   1.6368100836022174E-003
   8.5461151342681625E-003  -3.2695276964462439E-003   7.7083411593585737E-003  -1.6329816477706894E-003
 # EVENT N.          20
           2
   8.5499024283256821E-003   8.4174858320225157E-003   9.2084676163960491E-004   1.0666231779998825E-003
   8.5446029045365725E-003  -8.4174858320225157E-003  -9.2084676163960491E-004  -1.0232752641259485E-003
 # EVENT N.          21
           3
   8.5247501478927720E-003   6.1129780493828891E-003  -5.7839942807186009E-003   1.2598232308758104E-003
   8.4408786948744988E-003  -6.0240768201865512E-003   5.7594053495638254E-003  -1.2357433334523858E-003
   1.1169446281031247E-004  -8.8901229196338227E-005   2.4588931154775619E-005  -6.2988958830338830E-005
 # EVENT N.          22
           3
   8.5327817616573844E-003  -7.9142854746278360E-004  -8.4461172538611868E-003   7.6419156043578741E-004
   8.5335445065558360E-003   7.9142824899898652E-004   8.4461212884761917E-003  -7.7261783119732393E-004
   1.3487347598382508E-008   2.9846379711425537E-010  -4.0346150053587489E-009   1.2866287201828683E-008
 # EVENT N.          23
           3
   8.5275243364787458E-003  -6.0331717446765118E-003  -6.0043251092437855E-003   8.0436009709378714E-005
   8.5276410566162419E-003   6.0333330726997309E-003   6.0044419397862654E-003  -7.1491095735686696E-005
   2.3396835233220593E-007  -1.6132802321898732E-007  -1.1683054247963124E-007   1.2273990044486841E-007
 # EVENT N.          24
           2
   8.5423687480232508E-003   6.4608298599956281E-003  -5.4305387531339662E-003   1.2156768315562015E-003
   8.5405243104792680E-003  -6.4608298599956281E-003   5.4305387531339662E-003  -1.2026478410014955E-003
 # EVENT N.          25
           4
   8.3907532614350463E-003   5.4964158368634858E-003  -6.3077826708126394E-003   3.8067174971884946E-004
   8.5555139444106060E-003  -5.6257683769784673E-003   6.4153181095469554E-003  -3.6072501381425269E-004
   1.6457738530028406E-007   3.0001779169072983E-008  -2.6256458170678016E-008   1.5967531870423735E-007
   1.6925397454958295E-004   1.2932253833581285E-004  -1.0750918227614526E-004  -1.9088339517298530E-005
 # EVENT N.          26
           2
   8.5547889535242914E-003  -6.9016970019261286E-003  -5.0289021667856973E-003  -3.9358000948496878E-006
   8.5548528043910936E-003   6.9016970019261286E-003   5.0289021667856973E-003   3.3285972710753054E-005
 # EVENT N.          27
           2
   8.5443511945285239E-003   7.2045513308607069E-003  -4.2744597704927091E-003  -1.6025763905514047E-003
   8.5373731029764460E-003  -7.2045513308607069E-003   4.2744597704927091E-003   1.5649451273247439E-003
 # EVENT N.          28
           2
   8.5666656524809696E-003  -8.3947366179396854E-003  -4.5881650327949682E-004   1.5634976475253401E-003
   8.5636130760932665E-003   8.3947366179396854E-003   4.5881650327949682E-004  -1.5466846509407546E-003
 # EVENT N.          29
           2
   8.5498247750612280E-003  -4.1206797756544664E-003  -7.3947558133284300E-003  -1.0844207175665455E-003
   8.5492872062346570E-003   4.1206797756544664E-003   7.3947558133284300E-003   1.0801742188759884E-003
 # EVENT N.          30
           4
   8.3552418778798359E-003   4.8623650932255015E-003   6.6724092226658083E-003  -1.1769909362533456E-003
   8.3047595726267968E-003  -4.8890821546901291E-003  -6.6417079583121624E-003   8.3216741164199076E-004
   3.6195793667901104E-004   2.6688860238079916E-005  -3.0721885351073968E-005   3.5966292333877654E-004
   4.2770666372086346E-008   2.8201226547857196E-008   2.0620997427949118E-008   2.4673775312774259E-008
 # EVENT N.          31
           3
   8.3678354253301380E-003  -3.3653948653948914E-003  -7.6271876512492972E-003  -5.0958375042092167E-004
   8.4065092471683860E-003   3.5673482429092259E-003   7.5889955715790196E-003   2.9908261696929612E-004
   2.9076662999314367E-004  -2.0195337751433446E-004   3.8192079670277438E-005   2.0567311802610871E-004
 # EVENT N.          32
           2
   8.5600324673623107E-003  -2.3965615556744797E-003   8.0504077275183970E-003   1.5685866037778201E-003
   8.5574001575654864E-003   2.3965615556744797E-003  -8.0504077275183970E-003  -1.5541575042305610E-003
 # EVENT N.          33
           2
   8.5492613365954710E-003   8.1177099047934995E-003   2.3085933654702620E-003   1.2656744986802471E-003
   8.5533713485718647E-003  -8.1177099047934995E-003  -2.3085933654702620E-003  -1.2931449886897609E-003
 # EVENT N.          34
           3
   8.5512112548003817E-003  -7.0394293816026191E-003  -4.8261101581181538E-003  -1.3110533186099654E-004
   8.5518649439239227E-003   7.0403429251240518E-003   4.8265374870307010E-003   1.0668346984045343E-004
   2.2279264142933311E-006  -9.1354352143309560E-007  -4.2732891254730724E-007   1.9865760349039487E-006
 # EVENT N.          35
           2
   8.5458710699560202E-003   3.0474414030964825E-003  -7.9592860864515884E-003   3.6559293442552424E-004
   8.5455309914915702E-003  -3.0474414030964825E-003   7.9592860864515884E-003  -3.5755527675244265E-004
 # EVENT N.          36
           2
   8.5517535253471361E-003   1.8794533357646026E-003  -8.3109427072134996E-003  -5.1696691873306640E-004
   8.5506136870332969E-003  -1.8794533357646026E-003   8.3109427072134996E-003   4.9775582533842034E-004
 # EVENT N.          37
           3
   8.5531863966106358E-003   3.5377266654428686E-004  -8.5217613490880546E-003   3.8769305570185122E-004
   8.5517245769365716E-003  -3.5387512318397861E-004   8.5217790316107003E-003  -3.5345117633383210E-004
   4.6853743124088895E-007   1.0245663969177332E-007  -1.7682522646020395E-008   4.5685587426425172E-007
 # EVENT N.          38
           2
   8.5437616408612048E-003  -8.2857118594699495E-003  -1.6107949535531416E-003  -1.2194513257925506E-003
   8.5477398851065024E-003   8.2857118594699495E-003   1.6107949535531416E-003   1.2470187262292006E-003
 # EVENT N.          39
           3
   8.5457351903040282E-003  -5.9397905071083643E-003  -6.1182845862234568E-003   2.3227646700761594E-004
   8.5468579459302245E-003   5.9404434024120838E-003   6.1171611943626218E-003  -2.8130377443705111E-004
   4.2220609053302723E-006  -6.5289530371959487E-007   1.1233918608350792E-006  -4.0171528148315047E-006
 # EVENT N.          40
           4
   8.5460368927237247E-003   2.0053208356801870E-003  -8.1378325383357347E-003   1.5899674388065864E-003
   8.5425707868626022E-003  -2.0080266017465037E-003   8.1292500415074825E-003  -1.6116818974494943E-003
   1.0069573743566432E-005   2.7244570512088073E-006   8.5273231078444128E-006  -4.6106843057906035E-006
   5.9015159894826256E-008  -1.8690984892062436E-008   5.5173720408395696E-008  -9.4496961576963450E-009
 # EVENT N.          41
           2
   8.5709509528582827E-003  -6.7690895046066419E-003  -5.2324247576530673E-003   3.5194191351217459E-005
   8.5711361945528634E-003   6.7690895046066419E-003   5.2324247576530673E-003  -6.6438395350048885E-005
 # EVENT N.          42
           3
   8.3651293101862888E-003   1.5683537875310373E-003  -8.1176458499967533E-003  -1.1654872749131068E-003
   8.0349789827553458E-003  -9.8798483486842951E-004   7.8665078260216088E-003   1.2007113738155865E-003
   6.3246669606413205E-004  -5.8036895266260792E-004   2.5113802397514439E-004   1.0756083369262630E-005
 # EVENT N.          43
           3
   8.5348084963641161E-003   8.4320544471072519E-003  -1.7197217558198751E-004  -1.2052880992246787E-003
   8.5331286266096800E-003  -8.4319675860888357E-003   1.7198642212484336E-004   1.1939461531813634E-003
   1.3107771426852635E-006  -8.6861018416418336E-008  -1.4246542855850576E-008  -1.3078183808474564E-006
 # EVENT N.          44
           2
   8.5397586955665069E-003   4.7896889830307762E-004  -8.5025743621686793E-003  -3.7838677227552671E-004
   8.5397510724862253E-003  -4.7896889830307762E-004   8.5025743621686793E-003   3.7821468897821528E-004
 # EVENT N.          45
           2
   8.5520350967248498E-003   3.5188812829636982E-003   7.5936675511417383E-003  -1.6822223085661303E-003
   8.5525016110823519E-003  -3.5188812829636982E-003  -7.5936675511417383E-003   1.6845923564441823E-003
 # EVENT N.          46
           2
   8.5460407284072056E-003  -4.6853463097531267E-003  -7.0497154306230908E-003  -1.0595916181205410E-003
   8.5461258660209267E-003   4.6853463097531267E-003   7.0497154306230908E-003   1.0602780689368729E-003
 # EVENT N.          47
           3
   8.5498816870679725E-003  -7.9486167960634620E-003   3.0571846364441766E-003  -5.5899011759325153E-004
   8.5520131619647461E-003   7.9494309632342480E-003  -3.0574881747371567E-003   5.7803330804757718E-004
   8.6947692874508337E-007  -8.1416717078530722E-007   3.0353829298030032E-007   3.1407838671840455E-008
 # EVENT N.          48
           2
   8.5457522622218209E-003   2.6062297173867293E-003   8.0107014487272917E-003  -1.3434994036162684E-003
   8.5455832904945198E-003  -2.6062297173867293E-003  -8.0107014487272917E-003   1.3424241859512820E-003
 # EVENT N.          49
           2
   8.5425089398787138E-003  -1.7362241676872694E-003   8.3146849374909730E-003  -7.5158431222732398E-004
   8.5420790412094778E-003   1.7362241676872694E-003  -8.3146849374909730E-003   7.4668221938702670E-004
 # EVENT N.          50
           5
   8.5249285867545765E-003   5.8817221253371155E-003   6.1462209393564650E-003  -2.0639858255450794E-004
   8.5246999926195215E-003  -5.8810917010346441E-003  -6.1455636276980356E-003   2.3280469665093727E-004
   2.8161488442401297E-007  -1.0035915583787869E-007  -1.2497606971844607E-007  -2.3155121456470195E-007
   3.0468574399282593E-008   2.9283026709919019E-008   4.8950061670972629E-009  -6.8466990042550767E-009
   7.7658485246111574E-007  -5.5934817334301005E-007  -5.3723059487797256E-007   3.9961756429748167E-008
 # EVENT N.          51
           2
   8.5377763708763509E-003   1.4784169298102047E-003   8.2527239967785122E-003   1.5294885859071640E-003
   8.5362278068482067E-003  -1.4784169298102047E-003  -8.2527239967785122E-003  -1.5208205501420562E-003
 # EVENT N.          52
           3
   8.4380263382887108E-003   1.9750404583745171E-004  -8.3604681560796000E-003  -1.0013654724374658E-003
   7.9531650892056601E-003  -6.1596776550091096E-004   7.8317471709945866E-003   1.1296171290844220E-003
   6.8724632818463265E-004   4.1846371966345925E-004   5.2872098508501334E-004  -1.3285236489959354E-004
 # EVENT N.          53
           2
   8.5469422303088641E-003   4.2381510907216237E-003  -7.4021699342480037E-003   1.8723526816870724E-004
   8.5471354132522579E-003  -4.2381510907216237E-003   7.4021699342480037E-003  -1.9585538001285141E-004
 # EVENT N.          54
           4
   8.3600181105678191E-003   2.8875992728787441E-003  -7.7986355264216579E-003   6.8690402168363385E-004
   6.8597196144058606E-003  -2.2918995665502330E-003   6.4434180607684513E-003   1.5554169843937676E-004
   8.5428839749357395E-005   2.4562262415923507E-005  -5.4857817163566414E-005   6.0707510424834743E-005
   1.8014355714781696E-003  -6.2026196874443449E-004   1.4100752828167733E-003  -9.3388056254820788E-004
 # EVENT N.          55
           4
   8.5273023024426426E-003  -6.5341409481033666E-003   5.3847101812927196E-003   8.7387805311961084E-004
   8.5287309467832664E-003   6.5343451579671840E-003  -5.3847844211985579E-003  -8.8575482898255371E-004
   5.9581077971807102E-007  -2.0154610154948183E-007   7.1989514280197727E-008  -5.5604600889869082E-007
   5.4035636959392494E-009  -2.6637622678802342E-009   2.2503915580877797E-009   4.1277850030709510E-009
 # EVENT N.          56
           2
   8.5426426044376298E-003  -6.1795290810105754E-003  -5.7566718881115093E-003  -1.1788858033767939E-003
   8.5425327662331397E-003   6.1795290810105754E-003   5.7566718881115093E-003   1.1780896113696693E-003
 # EVENT N.          57
           3
   8.5267229701062631E-003   4.9701407384338892E-003  -6.8665135623410863E-003  -7.6979030129162090E-004
   8.5261268733862056E-003  -4.9712565873704199E-003   6.8670570482760726E-003   7.5090269676281044E-004
   2.1534123157528174E-006   1.1158489365309679E-006  -5.4348593498623082E-007   1.7597411147526109E-006
 # EVENT N.          58
           4
   8.5258032758952565E-003  -8.1647624268087922E-003   2.2858171692914904E-003  -7.3477604907143683E-004
   8.5263517305025679E-003   8.1655967163455963E-003  -2.2860294416083720E-003   7.3120000754172830E-004
   4.0077864624513798E-008   8.2347362407261606E-009  -1.2751152238452759E-009  -3.9202020777919647E-008
   8.6916641048597604E-007  -8.4252427304541732E-007   2.1354743210541836E-007   7.6986203266933398E-010
 # EVENT N.          59
           2
   8.5509200651251675E-003   7.1625413544491399E-003  -4.6373519030460759E-003  -2.2379140725278319E-004
   8.5521718501437392E-003  -7.1625413544491399E-003   4.6373519030460759E-003   2.6737985748908868E-004
 # EVENT N.          60
           5
   7.3314191230751417E-003  -6.8340352698927839E-003  -2.4984395334128654E-003   7.3644290112144322E-004
   7.8830188943521395E-003   7.1920645364992640E-003   3.0241077515618647E-003   1.0049113688107296E-003
   1.6644089762656403E-005  -1.9620820745529137E-006   4.1110636158551667E-007   1.6522921942548351E-005
   1.8881025810421333E-003  -3.5051173178640498E-004  -5.2511774292434126E-004  -1.7794168253908657E-003
   6.7668935274922747E-006  -5.5554527455221505E-006  -9.6158158624360535E-007   3.7420787882785780E-006
 # EVENT N.          61
           2
   8.5278731722765230E-003   1.4634234254761818E-003   8.3856402900724988E-003  -5.4125838498109339E-005
   8.5279213549969337E-003  -1.4634234254761818E-003  -8.3856402900724988E-003   6.1248681392150393E-005
 # EVENT N.          62
           2
   8.5315638811918598E-003   7.7742281713134125E-003   3.4094200577626296E-003   6.8095038704696614E-004
   8.5330060294812795E-003  -7.7742281713134125E-003  -3.4094200577626296E-003  -6.9878685586221515E-004
 # EVENT N.          63
           3
   8.5568647507651436E-003   2.1389495454389004E-003   8.1580729999914583E-003  -1.3526101036304544E-003
   8.5611970018197366E-003  -2.1389450502101821E-003  -8.1580732693932369E-003   1.3797567423423792E-003
   9.7515656023814504E-009  -4.4952287184212891E-009   2.6940177926279677E-010  -8.6494724202092022E-009
 # EVENT N.          64
           5
   8.5136587031571249E-003  -3.8895226598361240E-003  -7.5546908962396148E-003  -1.3972621592875077E-004
   8.4222847395856795E-003   3.7188498955965034E-003   7.5387989404890766E-003   1.0210868836479898E-004
   1.7085749455440569E-007   3.5078839961403995E-010   1.5037208894560420E-007  -8.1119635471584562E-008
   1.7417769047510954E-004   1.7062284408821891E-004   1.5738955585001889E-005   3.1272962948587705E-005
   6.6522776225587626E-008   4.9569363001945951E-008   2.6280765905037673E-009   4.4286016097357010E-008
 # EVENT N.          65
           2
   8.5579093842740924E-003  -3.4256085805256971E-003   7.6995880108502489E-003   1.3993724687607280E-003
   8.5638354649755118E-003   3.4256085805256971E-003  -7.6995880108502489E-003  -1.4351683343953995E-003
 # EVENT N.          66
           3
   7.8533526212373177E-003  -4.8258367466099648E-003  -6.1722567348092561E-003   1.6903801005967110E-004
   8.1469228316827964E-003   5.0136572161229081E-003   6.2874955237975112E-003  -1.2007801395419993E-003
   1.0956803658311693E-003  -1.8782046951294317E-004  -1.1523878898825476E-004   1.0732935091634455E-003
 # EVENT N.          67
           2
   8.5350506783228915E-003   8.5166371256092804E-003   2.0879014916808179E-004   9.6274537252590743E-005
   8.5354205989741621E-003  -8.5166371256092804E-003  -2.0879014916808179E-004  -1.2483391516580105E-004
 # EVENT N.          68
           3
   8.5417661631115478E-003  -1.9901818511495681E-003  -8.1962572242645845E-003  -1.2494770342035160E-003
   8.5366429826396490E-003   1.9901860706250741E-003   8.1962679691189727E-003   1.2138797948784406E-003
   1.1730141196201603E-008  -4.2194755059227429E-009  -1.0744854387526442E-008  -2.0833490174711025E-009
 # EVENT N.          69
           4
   8.4805032835007718E-003   6.6324058137877430E-003   5.2579757225507716E-003  -1.5066626844703726E-004
   8.5430992635672099E-003  -6.6813341332258589E-003  -5.2985619467769201E-003   9.1872107847697573E-005
   6.3770222998134248E-005   4.8936866474229003E-005   4.0592296527929558E-005  -4.9081466465344520E-006
   1.0505005169569761E-008  -8.5470361133448555E-009  -6.0723017809378312E-009  -6.5609326401474458E-010
 # EVENT N.          70
           2
   8.5450142553426707E-003  -4.3295241138884026E-003  -7.1953308373723986E-003   1.4961897181525029E-003
   8.5458008932589244E-003   4.3295241138884026E-003   7.1953308373723986E-003  -1.5006758330568283E-003
 # EVENT N.          71
           2
   8.5315361795960144E-003  -6.5315908987668633E-003  -5.4346009306877694E-003   5.7395348221645555E-004
   8.5290342873695479E-003   6.5315908987668633E-003   5.4346009306877694E-003  -5.3548005669490633E-004
 # EVENT N.          72
           2
   8.5224657639825212E-003  -4.6382058656004007E-003   7.1046634390122577E-003   6.1814757591197131E-004
   8.5245611698266475E-003   4.6382058656004007E-003  -7.1046634390122577E-003  -6.4639528577173117E-004
 # EVENT N.          73
           4
   8.5033860835913352E-003   6.2036337112260651E-003  -5.7902987134634673E-003  -1.8391420036727269E-004
   8.5500884348398212E-003  -6.2344727394676031E-003   5.8259928738792384E-003   1.7902206178137893E-004
   9.8606490698230918E-009   5.2510813483122600E-009   1.5564793661326900E-009   8.1997510166110116E-009
   4.7256686071925883E-005   3.0833777160189909E-005  -3.5695716895137082E-005   2.8789511768229436E-006
 # EVENT N.          74
           2
   8.5702635880930446E-003  -2.7316952503436726E-003   8.1009537898908811E-003   3.1731165023526480E-004
   8.5685057147856930E-003   2.7316952503436726E-003  -8.1009537898908811E-003  -2.6562924970070708E-004
 # EVENT N.          75
           2
   8.5501278183133765E-003  -8.3553019300635599E-003   1.6350271025075468E-003   5.9931769681636387E-004
   8.5495131483884421E-003   8.3553019300635599E-003  -1.6350271025075468E-003  -5.9048375649791080E-004
 # EVENT N.          76
           2
   8.5233109002054268E-003  -5.5342235606980518E-004   8.3729635761376816E-003   1.4046043253221154E-003
   8.5271447196682212E-003   5.5342235606980518E-004  -8.3729635761376816E-003  -1.4276840264283203E-003
 # EVENT N.          77
           3
   8.5467906858429244E-003   8.0101297863476844E-003   2.9365705200742405E-003   2.9755248058001639E-005
   8.5483823852751419E-003  -8.0113856243641673E-003  -2.9374264355864549E-003  -5.4292529969261701E-005
   1.5321634268223301E-006   1.2558380164830093E-006   8.5591551221437364E-007  -1.9443322452392810E-007
 # EVENT N.          78
           3
   8.5289723046524536E-003   1.2681615832472290E-003  -8.2665957792537048E-003   1.5929246546551765E-003
   8.5362463986066225E-003  -1.2709643258042480E-003   8.2683715192043289E-003  -1.6202051232320452E-003
   4.5183811138668148E-006   2.8027425570190472E-006  -1.7757399506233541E-006   3.0671077054747888E-006
 # EVENT N.          79
           3
